bw prob totalusage
5.07812500000000000000000000000000e-02 1.29815784502837151753466197849629e-07 3.91135081520777312107384204864502e+05
2.83203125000000000000000000000000e-01 7.24018328961226928679249630060877e-07 3.91135081520777312107384204864502e+05
9.64843750000000000000000000000000e-01 2.46671272731412061617463186979915e-06 3.91135081520777312107384204864502e+05
1.23046875000000000000000000000000e+00 3.14581616132313765480808982755168e-06 3.91135081520777312107384204864502e+05
1.50000000000000000000000000000000e+00 3.83490836327679455541959235853611e-06 3.91135081520777312107384204864502e+05
1.59765625000000000000000000000000e+00 4.08458026816828578359165266564723e-06 3.91135081520777312107384204864502e+05
1.63867187500000000000000000000000e+00 4.18944323219826180891220412938480e-06 3.91135081520777312107384204864502e+05
2.01562500000000000000000000000000e+00 5.15317471143150009272497838463956e-06 3.91135081520777312107384204864502e+05
2.69140625000000000000000000000000e+00 6.88090414776146944581805206531122e-06 3.91135081520777312107384204864502e+05
3.00000000000000000000000000000000e+00 7.66986765825688839482050795925971e-06 3.91135081520777312107384204864502e+05
3.09960937500000000000000000000000e+00 7.92453303762599841632806307867298e-06 3.91135081520777312107384204864502e+05
3.27343750000000000000000000000000e+00 8.36894862815518346334416055487537e-06 3.91135081520777312107384204864502e+05
3.29882812500000000000000000000000e+00 8.43386379636421676527727880889884e-06 3.91135081520777312107384204864502e+05
3.59960937500000000000000000000000e+00 9.20285340894916308203659721653977e-06 3.91135081520777312107384204864502e+05
3.95898437500000000000000000000000e+00 1.01216472558626477878723423642349e-05 3.91135081520777312107384204864502e+05
4.96289062500000000000000000000000e+00 1.26882804044324253435298277548071e-05 3.91135081520777312107384204864502e+05
4.99218750000000000000000000000000e+00 1.27631825215966928440021466162335e-05 3.91135081520777312107384204864502e+05
5.00000000000000000000000000000000e+00 1.27831564195071646292123368482407e-05 3.91135081520777312107384204864502e+05
5.29687500000000000000000000000000e+00 1.35421609021262802932889304785569e-05 3.91135081520777312107384204864502e+05
5.34570312500000000000000000000000e+00 1.36669968545720254838584870049623e-05 3.91135081520777312107384204864502e+05
5.83398437500000000000000000000000e+00 1.49153591075135894846023440485361e-05 3.91135081520777312107384204864502e+05
6.32226562500000000000000000000000e+00 1.61637222699498535642085444985483e-05 3.91135081520777312107384204864502e+05
6.89843750000000000000000000000000e+00 1.76367917838789252274293850586417e-05 3.91135081520777312107384204864502e+05
7.46289062500000000000000000000000e+00 1.90799004509422892128349402707244e-05 3.91135081520777312107384204864502e+05
7.59179687500000000000000000000000e+00 1.94094679474756667348148142515640e-05 3.91135081520777312107384204864502e+05
7.71093750000000000000000000000000e+00 1.97140680716209562193478449509954e-05 3.91135081520777312107384204864502e+05
7.72656250000000000000000000000000e+00 1.97540158674418997897682254150098e-05 3.91135081520777312107384204864502e+05
8.15820312500000000000000000000000e+00 2.08575700890166503605888115302491e-05 3.91135081520777312107384204864502e+05
8.46093750000000000000000000000000e+00 2.16315568140580200212977346474474e-05 3.91135081520777312107384204864502e+05
8.70898437500000000000000000000000e+00 2.22657244347366870278106393277184e-05 3.91135081520777312107384204864502e+05
8.80273437500000000000000000000000e+00 2.25054112096623450622011330946037e-05 3.91135081520777312107384204864502e+05
8.89843750000000000000000000000000e+00 2.27500896400762191911035930980134e-05 3.91135081520777312107384204864502e+05
9.45898437500000000000000000000000e+00 2.41832131771737508297605290241705e-05 3.91135081520777312107384204864502e+05
9.79882812500000000000000000000000e+00 2.50520740983004596184272744219257e-05 3.91135081520777312107384204864502e+05
1.00000000000000000000000000000000e+01 2.55664001505056994595355135402315e-05 3.91135081520777312107384204864502e+05
1.00429687500000000000000000000000e+01 2.56762565890132942781915598162712e-05 3.91135081520777312107384204864502e+05
1.00996093750000000000000000000000e+01 2.58210673488642130268995444897229e-05 3.91135081520777312107384204864502e+05
1.07558593750000000000000000000000e+01 2.74988693163756187944589404192897e-05 3.91135081520777312107384204864502e+05
1.12753906250000000000000000000000e+01 2.88271298894431752548282721360096e-05 3.91135081520777312107384204864502e+05
1.25996093750000000000000000000000e+01 3.22126946713316910796305603259526e-05 3.91135081520777312107384204864502e+05
1.33984375000000000000000000000000e+01 3.42550202757092018450782444638492e-05 3.91135081520777312107384204864502e+05
1.60000000000000000000000000000000e+01 4.09063137279810237431111608064072e-05 3.91135081520777312107384204864502e+05
1.60000000000000000000000000000000e+01 4.09063119089916201972546849763290e-05 3.91135081520777312107384204864502e+05
1.63476562500000000000000000000000e+01 4.17951494565129027017845453340072e-05 3.91135081520777312107384204864502e+05
1.71328125000000000000000000000000e+01 4.38025216490417913101085289895309e-05 3.91135081520777312107384204864502e+05
1.71992187500000000000000000000000e+01 4.39722997812808048725269349787936e-05 3.91135081520777312107384204864502e+05
1.75000000000000000000000000000000e+01 4.47412930318445548928674160293895e-05 3.91135081520777312107384204864502e+05
1.78984375000000000000000000000000e+01 4.57599590967945038435388260822378e-05 3.91135081520777312107384204864502e+05
1.85898437500000000000000000000000e+01 4.75276445143977310293405269536748e-05 3.91135081520777312107384204864502e+05
1.87988281250000000000000000000000e+01 4.80619462835028495896472211512673e-05 3.91135081520777312107384204864502e+05
1.92871093750000000000000000000000e+01 4.93103112649285189091757919399583e-05 3.91135081520777312107384204864502e+05
1.95312500000000000000000000000000e+01 4.99344955746307571147965531643820e-05 3.91135081520777312107384204864502e+05
2.00000000000000000000000000000000e+01 5.11329276302696471290243351859317e-05 3.91135081520777312107384204864502e+05
2.00000000000000000000000000000000e+01 5.11329276302696471290243351859317e-05 3.91135081520777312107384204864502e+05
2.00000000000000000000000000000000e+01 5.11329258112802435831678593558536e-05 3.91135081520777312107384204864502e+05
2.01074218750000000000000000000000e+01 5.14075669075492289357420805373522e-05 3.91135081520777312107384204864502e+05
2.04921875000000000000000000000000e+01 5.23912795606505557292897901078277e-05 3.91135081520777312107384204864502e+05
2.07988281250000000000000000000000e+01 5.31752532346471646707355973582310e-05 3.91135081520777312107384204864502e+05
2.10000000000000000000000000000000e+01 5.36895811058418046695685232894135e-05 3.91135081520777312107384204864502e+05
2.10000000000000000000000000000000e+01 5.36895811058418046695685232894135e-05 3.91135081520777312107384204864502e+05
2.10253906250000000000000000000000e+01 5.37544962740508396655675360520377e-05 3.91135081520777312107384204864502e+05
2.19003906250000000000000000000000e+01 5.59915673830554486427486804434039e-05 3.91135081520777312107384204864502e+05
2.25996093750000000000000000000000e+01 5.77792294270532529325452852919653e-05 3.91135081520777312107384204864502e+05
2.32988281250000000000000000000000e+01 5.95668896520616604527489923448513e-05 3.91135081520777312107384204864502e+05
2.36894531250000000000000000000000e+01 6.05655827285958326148748720463288e-05 3.91135081520777312107384204864502e+05
2.50000000000000000000000000000000e+01 6.39161986461092351471946493290943e-05 3.91135081520777312107384204864502e+05
2.50000000000000000000000000000000e+01 6.39161986461092351471946493290943e-05 3.91135081520777312107384204864502e+05
2.50000000000000000000000000000000e+01 6.39161986461092351471946493290943e-05 3.91135081520777312107384204864502e+05
2.54179687500000000000000000000000e+01 6.49848003653300687219515618942012e-05 3.91135081520777312107384204864502e+05
2.56933593750000000000000000000000e+01 6.56888784476847905225566082165756e-05 3.91135081520777312107384204864502e+05
2.66738281250000000000000000000000e+01 6.81955989974701619815364295185134e-05 3.91135081520777312107384204864502e+05
2.67910156250000000000000000000000e+01 6.84952074661272455359528610330244e-05 3.91135081520777312107384204864502e+05
2.68613281250000000000000000000000e+01 6.86749725473214848265809950866867e-05 3.91135081520777312107384204864502e+05
2.68984375000000000000000000000000e+01 6.87698485623962308885270822145230e-05 3.91135081520777312107384204864502e+05
2.73574218750000000000000000000000e+01 6.99433132456470362534398099718658e-05 3.91135081520777312107384204864502e+05
2.73593750000000000000000000000000e+01 6.99483067201246423412810959696628e-05 3.91135081520777312107384204864502e+05
2.79238281250000000000000000000000e+01 7.13914172061774098725431270118236e-05 3.91135081520777312107384204864502e+05
2.80937500000000000000000000000000e+01 7.18258494857301695067988700493800e-05 3.91135081520777312107384204864502e+05
