bw prob totalusage
2.10000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.10253906250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.19003906250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.25996093750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.32988281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.36894531250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.50000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.50000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.50000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.54179687500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.56933593750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.66738281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.67910156250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.68613281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.68984375000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.73574218750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.73593750000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.79238281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.80937500000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.95000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.97304687500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.98867187500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
2.99707031250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.00195312500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.02050781250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.02988281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.04433593750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.05058593750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.05507812500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.11972656250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.12988281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.13496093750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.15957031250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.18945312500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.20000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.20000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.23886718750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.30488281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.30585937500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.31464843750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.33808593750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.42089843750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.45761718750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.49589843750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.49960937500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.51308593750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.51992187500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.53886718750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.57109375000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.58710937500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.60859375000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.63535156250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.65292968750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.73437500000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.77988281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.80000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.82402343750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.82851562500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.85722656250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90625000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90625000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90625000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90625000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90625000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90625000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90625000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90625000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90625000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90625000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.90996093750000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.94804687500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.96816406250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.96816406250000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
3.97148437500000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
4.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 1.95567736328125000000000000000000e+05
