bw prob totalusage
5.07812500000000000000000000000000e-02 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.83203125000000000000000000000000e-01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
9.64843750000000000000000000000000e-01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.23046875000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.50000000000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.59765625000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.63867187500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.01562500000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.69140625000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.00000000000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.09960937500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.27343750000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.29882812500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.59960937500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.95898437500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
4.96289062500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
4.99218750000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
5.00000000000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
5.29687500000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
5.34570312500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
5.83398437500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
6.32226562500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
6.89843750000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
7.46289062500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
7.59179687500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
7.71093750000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
7.72656250000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
8.15820312500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
8.46093750000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
8.70898437500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
8.80273437500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
8.89843750000000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
9.45898437500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
9.79882812500000000000000000000000e+00 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.00429687500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.00996093750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.07558593750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.12753906250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.25996093750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.33984375000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.60000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.60000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.63476562500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.71328125000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.71992187500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.75000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.78984375000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.85898437500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.87988281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.92871093750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
1.95312500000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.01074218750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.04921875000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.07988281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.10000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.10000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.10253906250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.19003906250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.25996093750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.32988281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.36894531250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.50000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.50000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.50000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.54179687500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.56933593750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.66738281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.67910156250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.68613281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.68984375000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.73574218750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.73593750000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.79238281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.80937500000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.95000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.97304687500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.98867187500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
2.99707031250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.00000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.00195312500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.02050781250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.02988281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.04433593750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.05058593750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.05507812500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.11972656250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.12988281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.13496093750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.15957031250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.18945312500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.20000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.20000000000000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.23886718750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.30488281250000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.30585937500000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
3.31464843750000000000000000000000e+01 0.00000000000000000000000000000000e+00 3.91135472656249985448084771633148e+04
