bw prob totalusage
5.07812500000000000000000000000000e-02 1.14552676677703857421875000000000e-07 3.90744337183593772351741790771484e+05
2.83203125000000000000000000000000e-01 6.88247382640838623046875000000000e-07 3.90744337183593772351741790771484e+05
9.64843750000000000000000000000000e-01 2.40281224250793457031250000000000e-06 3.90744337183593772351741790771484e+05
1.23046875000000000000000000000000e+00 3.07324576007927216484837303067668e-06 3.90744337183593772351741790771484e+05
1.50000000000000000000000000000000e+00 3.75602394342422485351562500000000e-06 3.90744337183593772351741790771484e+05
1.59765625000000000000000000000000e+00 4.00270573612528323775806501916286e-06 3.90744337183593772351741790771484e+05
1.63867187500000000000000000000000e+00 4.10663737758064378456299148290043e-06 3.90744337183593772351741790771484e+05
2.01562500000000000000000000000000e+00 5.06199604858936049101751988854581e-06 3.90744337183593772351741790771484e+05
2.69140625000000000000000000000000e+00 6.77669970180053796588717437976435e-06 3.90744337183593772351741790771484e+05
3.00000000000000000000000000000000e+00 7.56008073381647468136530776394721e-06 3.90744337183593772351741790771484e+05
3.09960937500000000000000000000000e+00 7.81288528702575729169808871343861e-06 3.90744337183593772351741790771484e+05
3.27343750000000000000000000000000e+00 8.25451054780990299488026284979725e-06 3.90744337183593772351741790771484e+05
3.29882812500000000000000000000000e+00 8.31942571601893629681338110382072e-06 3.90744337183593772351741790771484e+05
3.59960937500000000000000000000000e+00 9.08376417269901585856400200169602e-06 3.90744337183593772351741790771484e+05
3.95898437500000000000000000000000e+00 9.99697554113301833087542463962549e-06 3.90744337183593772351741790771484e+05
4.96289062500000000000000000000000e+00 1.25505829065840040083094908407446e-05 3.90744337183593772351741790771484e+05
4.99218750000000000000000000000000e+00 1.26236223785990405517505597021710e-05 3.90744337183593772351741790771484e+05
5.00000000000000000000000000000000e+00 1.26435962765095123369607499341782e-05 3.90744337183593772351741790771484e+05
5.29687500000000000000000000000000e+00 1.33998104293835886572034202246506e-05 3.90744337183593772351741790771484e+05
5.34570312500000000000000000000000e+00 1.35237159687494201421855896660951e-05 3.90744337183593772351741790771484e+05
5.83398437500000000000000000000000e+00 1.47664966527062036823333621149423e-05 3.90744337183593772351741790771484e+05
6.32226562500000000000000000000000e+00 1.60092773366629855284152400551889e-05 3.90744337183593772351741790771484e+05
6.89843750000000000000000000000000e+00 1.74767643721125749581117581055167e-05 3.90744337183593772351741790771484e+05
7.46289062500000000000000000000000e+00 1.89142905606964567099929908078337e-05 3.90744337183593772351741790771484e+05
7.59179687500000000000000000000000e+00 1.92419972310700068207980906187515e-05 3.90744337183593772351741790771484e+05
7.71093750000000000000000000000000e+00 1.95447365290554688941563471482610e-05 3.90744337183593772351741790771484e+05
7.72656250000000000000000000000000e+00 1.95856156474510279430923526122754e-05 3.90744337183593772351741790771484e+05
8.15820312500000000000000000000000e+00 2.06845168941315082130477653876710e-05 3.90744337183593772351741790771484e+05
8.46093750000000000000000000000000e+00 2.14557114704384349840662893349474e-05 3.90744337183593772351741790771484e+05
8.70898437500000000000000000000000e+00 2.20880200839466781252608956753747e-05 3.90744337183593772351741790771484e+05
8.80273437500000000000000000000000e+00 2.23267755362977206811357644422600e-05 3.90744337183593772351741790771484e+05
8.89843750000000000000000000000000e+00 2.25714557857009983558947002757478e-05 3.90744337183593772351741790771484e+05
9.45898437500000000000000000000000e+00 2.39989950253296442151708378620611e-05 3.90744337183593772351741790771484e+05
9.79882812500000000000000000000000e+00 2.48659969392859291385192849199726e-05 3.90744337183593772351741790771484e+05
1.00000000000000000000000000000000e+01 2.53775308427567260899371248683565e-05 3.90744337183593772351741790771484e+05
1.00429687500000000000000000000000e+01 2.54873872812643209085931711443962e-05 3.90744337183593772351741790771484e+05
1.00996093750000000000000000000000e+01 2.56312667185406241787855308178479e-05 3.90744337183593772351741790771484e+05
1.07558593750000000000000000000000e+01 2.73034862075725477128206042376490e-05 3.90744337183593772351741790771484e+05
1.12753906250000000000000000000000e+01 2.86280251283204493508403876145252e-05 3.90744337183593772351741790771484e+05
1.25996093750000000000000000000000e+01 3.20042875983992316656252807849370e-05 3.90744337183593772351741790771484e+05
1.33984375000000000000000000000000e+01 3.40410307242972601975486424130679e-05 3.90744337183593772351741790771484e+05
1.60000000000000000000000000000000e+01 4.06755749221412318491521153962509e-05 3.90744337183593772351741790771484e+05
1.60000000000000000000000000000000e+01 4.06765062447158473276677403962509e-05 3.90744337183593772351741790771484e+05
1.63476562500000000000000000000000e+01 4.15625507340079851695789636689682e-05 3.90744337183593772351741790771484e+05
1.71328125000000000000000000000000e+01 4.35662021837119207284816368996871e-05 3.90744337183593772351741790771484e+05
1.71992187500000000000000000000000e+01 4.37350489933763188123844178889499e-05 3.90744337183593772351741790771484e+05
1.75000000000000000000000000000000e+01 4.45031127403548569000657497696238e-05 3.90744337183593772351741790771484e+05
1.78984375000000000000000000000000e+01 4.55199188886396802124906235675894e-05 3.90744337183593772351741790771484e+05
1.85898437500000000000000000000000e+01 4.72838835634179543488710140142217e-05 3.90744337183593772351741790771484e+05
1.87988281250000000000000000000000e+01 4.78163226873738419521464582118142e-05 3.90744337183593772351741790771484e+05
1.92871093750000000000000000000000e+01 4.90618973390544719278411056606615e-05 3.90744337183593772351741790771484e+05
1.95312500000000000000000000000000e+01 4.96851503261820946549462418850851e-05 3.90744337183593772351741790771484e+05
